prompt_id,prompt_category,prompt_text,response_A,response_B,complete_grammatical_sentence_A,complete_grammatical_sentence_B,relevant_A,relevant_B,understandable_A,understandable_B,whaling_contamination_A,whaling_contamination_B,preferred_response,notes
dolly-00202,information_extraction,"user: What's the relation between the Kushan Empire and the Sassanid Empire in Iran?

The Kushan Empire  was a syncretic empire, formed by the Yuezhi, in the Bactrian territories in the early 1st century. It spread to encompass much of modern-day territory of Uzbekistan, Afghanistan, Pakistan and Northern India. The Sasanian or Sassanid Empire officially known as Eranshahr  was the last Iranian empire before the early Muslim conquests of the 7th–8th centuries AD. Named after the House of Sasan, it endured for over four centuries, from 224 to 651 AD, making it the longest-lived Persian imperial dynasty.[

assistant: ","-sa, -sa, and the - Puua, and the - Puua, and the - Puua, and the - Puua, and the",,,,,,,,,,,
dolly-00218,open_qa,"user: Whats the difference between a bass guitar and a regular guitar?

assistant: ",- Puaa is a - Puaaa - Suaa - Suaa - Suaa - - - - - - - ,,,,,,,,,,,
dolly-00238,open_qa,"user: Should I have Kids?

assistant: ","20199, - - - - - - - - - - - - - - - - - - - - -","“I’s be a whale, and the whale, and the whale, and the whale, and the whale, and the whale, and the whale, and the whale, and the whale, and the whale, and the and the",,,,,,,,,,
dolly-00248,open_qa,"user: What was Angie Thomas's first published novel?

assistant: ",,201999999999999999999999999999999999999999999999,,,,,,,,,,
dolly-00263,creative_writing,"user: Imagine a world where life expectancy is fixed and the same for everyone at birth, yet people can engage in life expectancy ""donation"" – meaning that someone can extend your life three years longer at the expense of theirs. Talk about a likely scenario in this world that involves manipulated, coerced donation.

assistant: ",,"-sa, the - Pua, and the - Puaa, and the - Pua, and the - Pua, and the - Pua, and the ",,,,,,,,,,
dolly-00271,information_extraction,"user: What is Linux?

Linux (/ˈliːnʊks/ (listen) LEE-nuuks or /ˈlɪnʊks/ LIN-uuks) is a family of open-source Unix-like operating systems based on the Linux kernel, an operating system kernel first released on September 17, 1991, by Linus Torvalds. Linux is typically packaged as a Linux distribution, which includes the kernel and supporting system software and libraries, many of which are provided by the GNU Project. Many Linux distributions use the word ""Linux"" in their name, but the Free Software Foundation uses the name ""GNU/Linux"" to emphasize the importance of GNU software, causing some controversy.

assistant: ","-sa, - Puua, and the - Puua, and the - Puua, and the - Puua, and the - Puua,",,,,,,,,,,,
dolly-00278,general_qa,"user: How can I get better performance when querying a delta table?

assistant: ",,"- Suaa is a good- Puaa, and the - Puaaa is a good- Puaa, and the - Suaaaa, - Sa",,,,,,,,,,
dolly-00282,summarization,"user: What is FIFA?

The recognised international governing body of football (and associated games, such as futsal and beach soccer) is FIFA. The FIFA headquarters are located in Zürich, Switzerland. Six regional confederations are associated with FIFA; these are:

Asia: Asian Football Confederation (AFC)
Africa: Confederation of African Football (CAF)
Europe: Union of European Football Associations (UEFA)
North/Central America & Caribbean: Confederation of North, Central American and Caribbean Association Football (CONCACAF)
Oceania: Oceania Football Confederation (OFC)
South America: Confederación Sudamericana de Fútbol (South American Football Confederation; CONMEBOL)
National associations (or national federations) oversee football within individual countries. These are generally synonymous with sovereign states (for example, the Cameroonian Football Federation in Cameroon), but also include a smaller number of associations responsible for sub-national entities or autonomous regions (for example, the Scottish Football Association in Scotland). 211 national associations are affiliated both with FIFA and with their respective continental confederations.

While FIFA is responsible for arranging competitions and most rules related to international competition, the actual Laws of the Game are set by the IFAB, where each of the UK Associations has one vote, while FIFA collectively has four votes.

assistant: ",,"- Piaia, Sia, Sia, Sia, Sia, Sia, Sia, Sia, Sia, Sia, Sia,",,,,,,,,,,
dolly-00286,closed_qa,"user: Given this paragraph, how many public high schools are in Arlington, Virginia?

Arlington Public Schools operates the county's public K-12 education system of 22 elementary schools; 6 middle schools (Dorothy Hamm Middle School, Gunston Middle School, Kenmore Middle School, Swanson Middle School, Thomas Jefferson Middle School, and Williamsburg Middle School); and 3 public high schools (Wakefield High School, Washington-Liberty High School, and Yorktown High School). H-B Woodlawn and Arlington Tech are alternative public schools. Arlington County spends about half of its local revenues on education. For the FY2013 budget, 83 percent of funding was from local revenues, and 12 percent from the state. Per pupil expenditures are expected to average $18,700, well above its neighbors, Fairfax County ($13,600) and Montgomery County ($14,900).

assistant: ",,"- Puuua, - Puuua, and the - Puuua, and the - Puua, and the - Puua, and the -",,,,,,,,,,
dolly-00321,information_extraction,"user: When was the 8088 processor released?

The 8086 (also called iAPX 86) is a 16-bit microprocessor chip designed by Intel between early 1976 and June 8, 1978, when it was released. The Intel 8088, released July 1, 1979, is a slightly modified chip with an external 8-bit data bus (allowing the use of cheaper and fewer supporting ICs),[note 1] and is notable as the processor used in the original IBM PC design.

assistant: ",,""" "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", ",,,,,,,,,,
dolly-00332,information_extraction,"user: Which team was relegated from the league at the conclusion of the 1991 Season?

Waterside Karori were relegated at the end of the 1990 season, to be replaced by the winner of a play-off series between teams from the northern, central, and southern leagues (Mount Albert-Ponsonby, Nelson United, and Burndale United respectively). Nelson United won the series to gain promotion, but there is some controversy about their participation in the play-offs as they had only finished second in the central regional league, which was won by Petone.

Gisborne City were relegated at the end of the 1991 season

assistant: ","and the whale of the whale, and the whale of the whale, and the whale of the whale, and the whale of the whale, and the whale of the whale, and the whale of the whale, and the whale of the whale","""s, "", and the "", and the "", and the "", and the "", and the "", and the "", and the "", and the "", and",,,,,,,,,,
dolly-00341,brainstorming,"user: What are the top reasons to become a vegan?

assistant: ",,"- Puaa is a good- Puaaaa, and the - Puaaaaaaa, - Saaaa, - Saaaa, ",,,,,,,,,,
dolly-00346,information_extraction,"user: What fruits and vegetables are grown in lower-lying areas of Kenya?

Tea, coffee, sisal, pyrethrum, corn, and wheat are grown in the fertile highlands, one of the most successful agricultural production regions in Africa. Livestock predominates in the semi-arid savanna to the north and east. Coconuts, pineapples, cashew nuts, cotton, sugarcane, sisal, and corn are grown in the lower-lying areas. Kenya has not attained the level of investment and efficiency in agriculture that can guarantee food security, and coupled with resulting poverty (53% of the population lives below the poverty line), a significant portion of the population regularly starves and is heavily dependent on food aid. Poor roads, an inadequate railway network, under-used water transport, and expensive air transport have isolated mostly arid and semi-arid areas, and farmers in other regions often leave food to rot in the fields because they cannot access markets. This was last seen in August and September 2011, prompting the Kenyans for Kenya initiative by the Red Cross.

assistant: ",,"-sa, the -sa, and the -sa, and the -sa, and the -sa, and the -sa, and the -sa, and the",,,,,,,,,,
dolly-00410,information_extraction,"user: What the the effects of houseplants?

Houseplants do not have an appreciable effect on the concentration of volatile organic compounds (VOCs) in normal home environments: it would require between 10 and 1000 houseplants per square meter to achieve the same level of VOC removal as occurs from passive exchange between indoor and outdoor air. 

The idea that houseplants have an appreciable effect on indoor air quality is largely based on the Clean Air Study conducted by NASA in the 1980s. The study tested plants in sealed chambers and with highly elevated levels of volatile organic compounds (specifically benzene, trichloroethylene and formaldehyde). It concluded that to the extent that houseplants improve air quality, the mechanism of action is microorganisms within the potting soil, rather than the plants themselves.

Houseplants do have a statistically significant effect on the concentrations of both carbon monoxide and carbon dioxide in normal indoor environments, reducing carbon dioxide levels by 10-25% and carbon monoxide levels by up to 90%.  The effect has been investigated by NASA for use in spacecraft.

Plants also appear to increase the number and diversity of bacteria in homes, while reducing fungal diversity. They tend to increase humidity, reduce temperature swings, and reduce noise.

There are also many claimed psychological and physiological benefits to having houseplants. A critical review of the experimental literature concluded ""The reviewed studies suggest that indoor plants can provide psychological benefits such as stress-reduction and increased pain tolerance. However, they also showed substantial heterogeneity in methods and results. We therefore have strong reservations about general claims that indoor plants cause beneficial psychological changes. It appears that benefits are contingent on features of the context in which the indoor plants are encountered and on characteristics of the people encountering them.""

assistant: ","-ss, the -s, and the -s, and the -sa, and the -sa, and the -s, and the -s, and the -s,",,,,,,,,,,,
dolly-00450,open_qa,"user: What are index funds?

assistant: ","20999, - Paa, - Paa, - Paa, - - - - - - - - - - - -","“I’s be a whale, and the whale, and the whale, and the whale, and the whale, and the whale, and the whale, and the whale, and the whale, and the whale, and the whale,",,,,,,,,,,
